iter	Passed	Remaining
0	11	8614
1	23	8489
2	35	8573
3	46	8385
4	57	8267
5	67	8188
6	78	8098
7	88	8000
8	99	7994
9	110	7978
10	122	7995
11	133	7978
12	144	7938
13	155	7932
14	166	7920
15	178	7940
16	190	7966
17	201	7945
18	212	7929
19	224	7941
20	234	7910
21	245	7891
22	256	7867
23	267	7850
24	278	7840
25	289	7815
26	299	7795
27	310	7778
28	321	7770
29	332	7746
30	342	7720
31	355	7732
32	365	7711
33	376	7689
34	387	7679
35	397	7654
36	407	7627
37	418	7602
38	429	7591
39	439	7577
40	450	7561
41	461	7543
42	472	7533
43	483	7528
44	494	7513
45	504	7493
46	515	7474
47	525	7459
48	536	7443
49	547	7431
50	558	7428
51	569	7417
52	580	7406
53	591	7394
54	602	7377
55	613	7367
56	623	7353
57	634	7338
58	644	7318
59	655	7304
60	666	7294
61	676	7276
62	688	7281
63	699	7269
64	710	7255
65	721	7242
66	731	7232
67	742	7222
68	753	7208
69	764	7201
70	776	7196
71	787	7184
72	799	7181
73	812	7189
74	823	7178
75	833	7162
76	844	7152
77	854	7133
78	865	7117
79	874	7098
80	885	7084
81	896	7074
82	906	7058
83	917	7042
84	927	7028
85	939	7021
86	950	7015
87	962	7014
88	973	6998
89	984	6990
90	996	6989
91	1007	6974
92	1019	6968
93	1030	6960
94	1040	6946
95	1051	6935
96	1062	6922
97	1073	6912
98	1083	6896
99	1094	6884
100	1104	6869
101	1115	6856
102	1125	6843
103	1136	6828
104	1147	6817
105	1157	6803
106	1168	6792
107	1178	6775
108	1189	6767
109	1200	6756
110	1211	6744
111	1221	6731
112	1232	6721
113	1243	6707
114	1254	6696
115	1264	6682
116	1275	6670
117	1286	6659
118	1296	6647
119	1307	6636
120	1318	6624
121	1329	6614
122	1340	6603
123	1350	6590
124	1360	6574
125	1370	6559
126	1382	6551
127	1392	6539
128	1403	6530
129	1414	6519
130	1425	6507
131	1436	6496
132	1447	6486
133	1457	6472
134	1468	6462
135	1480	6453
136	1491	6446
137	1502	6435
138	1513	6423
139	1523	6411
140	1534	6399
141	1544	6386
142	1555	6375
143	1567	6366
144	1577	6355
145	1588	6342
146	1599	6330
147	1609	6319
148	1621	6310
149	1631	6299
150	1642	6288
151	1654	6279
152	1664	6267
153	1676	6259
154	1687	6248
155	1698	6239
156	1709	6228
157	1720	6218
158	1731	6207
159	1743	6200
160	1755	6191
161	1766	6183
162	1777	6173
163	1790	6168
164	1803	6165
165	1815	6156
166	1826	6146
167	1837	6136
168	1848	6125
169	1860	6119
170	1872	6109
171	1883	6100
172	1895	6090
173	1905	6078
174	1916	6068
175	1927	6057
176	1938	6047
177	1950	6038
178	1962	6029
179	1974	6020
180	1985	6012
181	1996	6000
182	2009	5994
183	2020	5983
184	2033	5978
185	2046	5973
186	2058	5967
187	2070	5958
188	2084	5955
189	2095	5944
190	2106	5933
191	2118	5924
192	2129	5913
