year,n_nodes,n_edges,density,reciprocity,apl,avg_clustering,modularity,n_communities,kendall_tau,kendall_p,jaccard_top20
2006,269,56001,0.7768,0.89988,1.0303,0.9745,0.57834,5,,,0.0
2007,264,55125,0.79394,0.91109,1.024,0.97995,0.57415,6,,,0.0
2008,266,55755,0.79096,0.91102,1.0285,0.97647,0.57648,5,1.0,0.0,1.0
2009,265,55818,0.79786,0.92046,1.0281,0.97685,0.57736,5,0.6,0.0001,0.7391
2010,270,57726,0.7948,0.9148,1.0289,0.97587,0.5739,5,0.4632,0.0038,0.6667
2011,267,56637,0.79746,0.91958,1.0287,0.97628,0.5716,5,0.5895,0.0001,0.7391
2012,268,56224,0.78573,0.91086,1.0285,0.97655,0.56947,5,0.5158,0.0011,0.6
2013,269,56617,0.78534,0.9122,1.0306,0.97484,0.5725,5,0.4526,0.0047,0.6
2014,270,57326,0.78929,0.91456,1.0283,0.97659,0.57628,5,0.4842,0.0024,0.6
2015,269,56854,0.78863,0.91325,1.0275,0.97734,0.57664,5,0.5474,0.0005,0.6667
2016,270,56948,0.78408,0.907,1.028,0.97702,0.57582,5,0.6316,0.0,0.6
2017,267,55312,0.7788,0.90281,1.0295,0.97554,0.57701,5,0.6316,0.0,0.6
2018,268,55379,0.77393,0.89622,1.0302,0.97504,0.57504,5,0.5368,0.0006,0.4815
2019,267,54780,0.77131,0.8935,1.0307,0.97483,0.57595,5,0.5789,0.0002,0.5385
2020,267,54634,0.76925,0.89058,1.0307,0.97484,0.57784,5,0.5579,0.0004,0.5385
2021,267,55164,0.77672,0.90131,1.0307,0.97482,0.57264,5,0.5789,0.0002,0.5385
2022,267,54775,0.77124,0.89902,1.0356,0.97132,0.56802,5,0.5263,0.0008,0.5385
2023,268,54825,0.76618,0.89696,1.0406,0.96861,0.56845,5,0.5789,0.0002,0.5385
2024,269,55596,0.77118,0.90122,1.0385,0.96914,0.57146,5,0.5158,0.0011,0.4815
2025,269,56086,0.77798,0.90386,1.0323,0.97363,0.56867,5,0.5263,0.0008,0.4286
