Variable,OLS,FE-M1,FE-M2,FE-M3,FE-M4,Dynamic FE
net_rate_lag1,—,—,—,—,—,"0.2394***
(0.0355)"
pagerank,"2292.4646***
(185.2267)","12399.6014***
(1720.3690)","15128.0891***
(1789.0895)","15148.8531***
(1789.3754)","22737.7809***
(2338.1744)","13417.8765***
(1627.0804)"
pagerank_x_covid,—,—,—,"-178.3196
(171.5732)","-66.9233
(164.8130)",—
pagerank_x_metro,—,—,—,—,"-9426.3697***
(2832.6911)",—
ln_pop_density,"-4.6985***
(0.2919)",—,"-74.6447***
(8.9598)","-74.4207***
(8.9721)","-74.6155***
(8.6636)","-72.7361***
(7.3416)"
youth_ratio,"-0.5402***
(0.1099)",—,"1.0236**
(0.3673)","1.0557**
(0.3658)","0.7650*
(0.3834)","0.4062
(0.3245)"
aging_ratio,"-0.4591***
(0.0691)",—,"-0.6005
(0.5199)","-0.6090
(0.5193)","-0.3490
(0.4705)","-0.7256
(0.4432)"
fiscal_indep,"0.2562***
(0.0380)",—,"-0.1133
(0.0862)","-0.1194
(0.0872)","-0.0646
(0.0808)","-0.1401†
(0.0740)"
doctor_per1000,"0.0508
(0.1551)",—,"-0.3781
(0.7574)","-0.2920
(0.7379)","-0.0277
(0.7212)","-0.1383
(0.5935)"
fertility,"2.1174
(1.4594)",—,"5.5545†
(3.3596)","5.4983†
(3.3269)","2.8228
(3.0543)","1.5066
(2.3388)"
culture_facility_count,"-0.4269***
(0.0584)",—,"-0.1378
(0.2624)","-0.1118
(0.2558)","-0.1208
(0.2327)","-0.0398
(0.2079)"
childcare_pk,"-0.2129**
(0.0760)",—,"-0.9147***
(0.2209)","-0.9214***
(0.2224)","-1.0049***
(0.2269)","-0.7545***
(0.1606)"
N,3536,3536,3536,3536,3536,3536
R²,0.1838,0.3062,0.4125,0.4128,0.4397,0.4635
Entity FE,No,Yes,Yes,Yes,Yes,Yes
Time FE,No,Yes,Yes,Yes,Yes,Yes
