Rank,Region,Province,RAI,Econ,Demo,Infra,Serv,Net_Rate
1,수원시,경기도,1.175,1.587,0.428,1.755,0.662,-1.96
2,화성시,경기도,1.114,2.246,-0.111,1.918,0.132,45.26
3,종로구,서울특별시,1.101,0.743,0.433,0.499,2.991,-7.36
4,용인시,경기도,1.076,1.343,0.078,1.912,0.52,10.23
5,강남구,서울특별시,1.03,1.798,0.653,1.087,0.689,-2.48
6,성남시,경기도,0.964,1.686,0.352,1.461,0.199,-8.64
7,고양시,경기도,0.963,1.198,0.206,1.638,0.45,3.59
8,송파구,서울특별시,0.821,0.971,0.93,1.227,-0.046,-2.89
9,부천시,경기도,0.751,0.884,0.704,1.026,0.255,-12.88
10,천안시,충청남도,0.718,1.065,0.025,1.111,0.495,6.21
11,서초구,서울특별시,0.686,1.315,0.43,0.951,0.011,-12.25
12,중구,서울특별시,0.67,1.374,0.304,0.66,0.478,-1.67
13,안산시,경기도,0.668,1.014,0.167,1.022,0.32,-14.11
14,영등포구,서울특별시,0.667,1.014,0.869,0.853,-0.102,0.08
15,청주시,충청북도,0.649,1.032,0.087,0.794,0.661,2.08
…,…,…,…,…,…,…,…,…
214,의령군,경상남도,-0.755,-0.265,-0.631,-1.513,-0.076,0.31
215,영덕군,경상북도,-0.712,-0.592,-0.67,-0.993,-0.406,-6.95
216,청도군,경상북도,-0.71,-0.078,-0.684,-1.315,-0.296,4.24
217,영양군,경상북도,-0.647,-0.16,-0.666,-1.23,-0.106,-4.03
218,울릉군,경상북도,-0.641,0.579,-0.224,-1.217,-1.125,-5.77
219,합천군,경상남도,-0.635,-0.341,-0.733,-1.125,-0.003,-5.89
220,고성군,경상남도,-0.634,-0.308,-0.471,-1.306,0.002,-4.98
221,임실군,전북특별자치도,-0.624,-0.255,-0.55,-1.282,0.044,-10.3
222,의성군,경상북도,-0.615,-0.056,-0.799,-1.019,-0.25,2.78
223,해남군,전라남도,-0.6,0.031,-0.472,-1.314,-0.111,-12.26
224,완도군,전라남도,-0.59,-0.273,-0.493,-1.102,-0.132,-8.4
225,신안군,전라남도,-0.58,0.229,-0.595,-1.473,0.187,-1.52
226,남해군,경상남도,-0.574,-0.295,-0.659,-0.864,-0.259,-0.44
227,진도군,전라남도,-0.571,-0.044,-0.494,-1.304,0.083,-3.4
228,울진군,경상북도,-0.56,-0.565,-0.297,-0.854,-0.35,-6.09
