feature,mean_abs_shap,rank
pagerank,7.4311581478851645,1
ln_pop,2.0139749471444603,2
childcare_pk,1.9198053815783402,3
house_age,1.875214201054637,4
closeness,1.4521875921791247,5
employ_rate,0.9738648757858857,6
sewer_supply,0.9426376385098506,7
pop_density,0.9317817837088976,8
senior_fac_pk,0.9013483115694958,9
doctor_per1000,0.9003748564200291,10
seoul_dist_km,0.8320078106564326,11
academy_pk,0.8131944509098722,12
aging_ratio,0.8053619224984171,13
biz_count,0.7980215198215395,14
fertility,0.7877611673362912,15
culture_facility_count,0.6493395795090011,16
hospital_bed,0.6255027240954958,17
extinction_risk,0.6025195368611422,18
fiscal_indep,0.5894993749924214,19
youth_ratio,0.4404788682542449,20
