feature,shap_2017_2020,shap_2021_2024,rank_2017_2020,rank_2021_2024,rank_change
pagerank,7.62448266194175,7.320829186290095,1,1,0
ln_pop,1.9717888704239592,2.0951447491547834,4,2,2
childcare_pk,1.9945911945330328,1.7102486822145364,3,3,0
house_age,2.0597934073035553,1.6082157237732542,2,4,-2
pop_density,0.7804810845044208,1.1012854070426819,13,5,8
employ_rate,0.8703540887663583,1.0623251935674325,9,6,3
fertility,0.5938117948298306,1.0266987417965208,18,7,11
closeness,1.6983828836372579,0.9893093088355641,5,8,-3
sewer_supply,0.9092881693874177,0.9488703885758433,8,9,-1
senior_fac_pk,0.865021631811869,0.9309507803095123,10,10,0
aging_ratio,0.7743345315351767,0.9221883461568701,14,11,3
academy_pk,0.8136531816484195,0.8150979696781504,12,12,0
doctor_per1000,0.9513822389227573,0.784477074185044,6,13,-7
seoul_dist_km,0.8555273013450184,0.7726686422520123,11,14,-3
extinction_risk,0.5651126300453467,0.6378562191910983,19,15,4
biz_count,0.9129731428828578,0.6144322457030779,7,16,-9
culture_facility_count,0.6957278190225189,0.5764155839287523,15,17,-2
hospital_bed,0.6654859467089707,0.5573459771914089,17,18,-1
youth_ratio,0.42527652785518516,0.46251814367311245,20,19,1
fiscal_indep,0.6714289360638787,0.44325891563149133,16,20,-4
